,lemma_review,nltk_sentiment,sentiment
10,"['flight', '12', 'may', '2023', 'got', 'delayed', 'hour', '25', 'minute', 'resulted', 'cancellation', 'connection', 'flight', '12', 'may', '2023', 'arrival', 'first', 'flight', '15', 'departure', 'second', 'connecting', 'flight', 'contacted', 'ba', 'call', 'center', 'multiple', 'time', 'make', 'change', 'flight', 'order', 'still', 'arrive', '12th', 'may', 'kef', 'airport', 'different', 'flight', 'team', 'tried', 'find', 'solution', 'none', 'made', 'sense', 'even', 'next', 'day', '13th', 'may', '2023', 'made', 'full', 'booking', 'accommodation', 'car', 'rental', 'activity', 'etc', 'vacation', 'iceland', 'cancellation', 'booking', 'refundable', 'call', 'center', 'suggested', 'cancel', 'flight', 'full', 'refund', 'claim', 'compensation', 'delay', 'difference', 'airfare', 'cost', 'non', 'refundable', 'booking', 'due', 'delay', 'cancellation', 'flight', 'british', 'airway', 'responded', 'claim', 'month', 'compensation', 'even', 'though', 'paid', 'additional', '600', 'new', 'booking', 'additional', 'charge', 'refund', 'cancelled', 'flight', 'took', 'month', 'multiple', 'calla', 'follow', 'almost', 'every', 'week', 'promised', 'get', 'refund', 'first', 'call', 'later', 'found', 'processed', 'properly', 'every', 'time', 'call', 'agent', 'ask', 'question', 'flight', 'canceled', 'etc', 'annoying', 'understanding', 'everything', 'process', 'payment', 'multiple', 'call', 'refunded', 'partially', 'full', 'amount', 'even', 'bizarre', 'company', 'level', 'make', 'call', 'get', 'remaining', 'balance', 'refunded', 'whole', 'experience', 'terrible']",-1,Negative
11,"['cairo', '5', 'hour', 'flight', 'ba', 'considers', 'short', 'haul', 'everyone', 'crammed', 'knee', 'pressed', 'seat', 'front', 'nothing', 'way', 'inflight', 'entertainment', 'even', 'magazine', 'available', 'wifi', 'pay', 'pay', 'seat', 'choice', 'checked', 'baggage', 'food', 'drink', 'wifi', 'anything', 'used', 'budget', 'airline', 'premium', 'price', 'ticket', 'would', 'preferred', 'fly', 'easyjet', 'initial', 'ticket', 'would', 'le', 'extra', 'would', 'half', 'price', 'ba', 'app', 'website', 'make', 'really', 'difficult', 'understand', 'extra', 'ended', 'baggage', 'wrong', 'ticket', 'pay', 'extra', 'get', 'started', 'customer', 'service', 'helpline', 'board', 'staff', 'ok', 'long', 'cairo', 'london', 'route', 'spend', 'time', 'break', 'use', 'back', 'row', 'two', 'talk', 'loudly', 'without', 'consideration', 'passenger', 'flyer', 'want', 'hassle', 'charge', 'minimal', 'cabin', 'service', 'budget', 'seat', 'could', 'easily', 'provide', 'premium', 'economy', 'option', 'really', 'make', 'difference', 'experience', 'heathrow', 'terminal', '5', 'compound', 'poor', 'experience', 'especially', 'arrival', 'also', 'poorly', 'served', 'transport', 'link', 'especially', 'u', 'live', 'near', 'gatwick', 'abandoned', 'ba', 'frequent', 'flyer', 'many', 'year', 'even', 'ba', 'gold', 'card', 'holder', 'one', 'point', 'know', 'potential', 'experience', 'used', 'able', 'make', 'choice', 'fly', 'budget', 'fly', 'comfortably', 'case', 'flying', 'budget', 'flying', 'budget', 'double', 'price', 'ba']",-1,Negative
12,"['travelling', 'london', 'madrid', 'british', 'airway', 'iberia', 'madrid', 'lima', 'latam', 'cuzco', 'luggage', 'arrived', '7', 'day', 'attempting', 'collect', 'luggage', 'mine', 'one', 'arrive', 'sought', 'help', 'informed', 'make', 'claim', 'online', 'bag', 'finally', 'arrived', '7', 'day', 'later', 'lock', 'forced', 'open', 'everything', 'inside', 'case', 'searched', 'someone', 'emptied', '1st', 'aid', 'kit', 'toiletry', 'threw', 'clothing', 'felt', 'violated', 'treated', 'appallingly', 'start', 'finish', 'month', 'back', 'forth', 'british', 'airway', 'yet', 'stated', 'fault']",-1,Negative
13,"['luggage', 'mi', 'tagged', 'dallas', 'way', 'cairo', 'via', 'london', 'luggage', 'arrived', 'lhr', 'planned', 'saturday', '6', '24', 'however', 'upon', 'arrival', 'due', 'luggage', 'mi', 'tagged', 'incorrect', 'name', 'luggage', 'never', 'sent', 'cairo', 'sitting', 'terminal', '3', 'lhr', 'air', 'tag', 'luggage', 'british', 'airway', 'saying', 'nothing', 'filed', '3', 'claim', 'made', '13', 'phone', 'call', 'hung', '3x', 'simple', 'solve', 'problem', 'worker', 'ba', 'refuse', 'solve', 'problem']",-1,Negative
14,"['airline', 'lost', 'luggage', 'absolutely', 'awful', 'throughout', 'entire', 'trip', 'gave', 'update', 'website', 'suck', 'nearly', 'impossible', 'get', 'someone', 'phone', 'finally', 'delivered', 'luggage', 'hotel', 'left', 'go', 'back', 'u', '5', 'day', 'told', 'ship', 'back', 'u', 'calling', 'everyday', 'begging', 'get', 'bag', 'back', 'appease', 'phone', 'tell', 'fixing', 'nothing', 'change', 'hotel', 'get', 'touch', 'even', 'tried', 'pick', 'bag', 'back', 'several', 'time', 'called', 'got', 'message', 'saying', 'answering', 'due', 'many', 'complaint', 'call', 'call', 'back', 'later']",-1,Negative
15,"['booked', 'ba', 'website', 'round', 'trip', 'flight', 'seattle', 'amman', 'stop', 'london', 'business', 'class', 'first', 'flight', 'delayed', 'diverted', 'nyc', 'enroute', 'husband', 'experienced', 'medical', 'emergency', 'landed', 'nyc', 'taken', 'hospital', 'stayed', 'constant', 'contact', 'airline', 'agent', 'arranged', 'ambulance', 'transfer', 'evening', 'flew', 'back', 'home', 'confirming', 'cancellation', 'remaining', 'flight', 'agent', 'airport', 'next', 'several', 'week', 'spoke', 'many', 'time', 'ba', 'customer', 'service', 'trying', 'obtain', 'kind', 'refund', 'met', 'contradictory', 'explanation', 'excuse', 'absence', 'meaningful', 'customer', 'service', 'discovered', 'marked', 'show', 'flight', 'amman', 'return', 'flight', 'still', 'active', 'unable', 'cancel', 'return', 'website', 'despite', 'booking', 'website', 'phone', 'call', 'never', 'returned', 'spent', 'minimum', '40', '60', 'minute', 'hold', 'every', 'phone', 'call', 'made', 'email', 'received', 'canned', 'reply', 'without', 'answer', 'explanation', 'told', 'possible', 'receive', 'copy', 'ticketing', 'rule', 'regulation', 'speak', 'supervisor', 'several', 'week', 'abysmal', 'customer', 'service', 'filed', 'complaint', 'faa', 'response', 'complaint', 'received', 'email', 'ba', 'customer', 'service', 'explaining', 'reviewed', 'many', 'request', 'full', 'refund', 'could', 'accommodated', 'due', 'ticketing', 'rule', 'would', 'issue', 'flight', 'credit', 'except', 'portion', 'showed', 'state', 'many', 'credit', 'never', 'asked', 'full', 'refund', 'asked', 'read', 'rule', 'receive', 'partial', 'refund', 'use', 'credit', 'fully', 'refunded', 'travel', 'insurance']",1,Positive
16,"['first', 'time', 'flying', 'ba', 'business', 'class', 'never', 'boarding', 'drink', 'provided', 'meal', 'quality', 'business', 'class', 'standard', 'quality', 'wine', 'arrival', 'bodrum', 'bag', 'among', 'last', 'appear', 'looking', 'forward', 'chaos', 'return', 'flight']",-1,Negative
17,"['buy', 'sandwich', 'crisp', 'expect', 'hot', 'meal', 'plane', 'narrow', 'body', 'screen', 'helping', 'matter', 'fact', 'ba', 'prebooking', 'shop', 'food', 'recognise', 'flight', 'number', 'onboard', 'wifi', 'work']",1,Positive
18,"['two', 'one', 'review', 'covering', 'economy', 'business', 'class', 'ba', 'flight', 'london', 'city', 'ibiza', 'economy', 'excellent', 'light', 'lunch', 'small', 'cheese', 'pastrami', 'sandwich', 'chocolate', 'brownie', 'followed', 'pretty', 'much', 'free', 'flowing', 'drink', 'trolley', 'flight', 'full', 'crew', 'worked', 'hard', 'good', 'job', 'flight', 'would', 'recommend', 'except', 'fall', 'last', 'minute', 'offer', 'upgrade', 'business', '100', 'direction', 'flew', 'economy', 'business', 'back', 'brother', 'flew', 'business', 'economy', 'business', 'seat', 'identical', 'economy', 'seat', 'blocked', 'squished', 'four', 'abreast', 'meal', 'almost', 'identical', 'minor', 'tweak', 'yoghurt', '100', 'real', 'plus', 'champagne', 'flight', 'none', 'supply', 'issue', 'cabin', 'attendant', 'think', 'name', 'tom', 'must', 'one', 'best', 'business', 'eat', 'paid', '100', 'nothing', 'oh', 'well', 'great', 'flight', 'stick', 'economy']",1,Positive
19,"['absolutely', 'horrible', 'airline', 'communication', 'terrible', 'last', 'minute', 'delay', 'cancellation', 'seat', 'change', 'communication', 'app', 'website', 'user', 'experience', 'year', 'behind', 'airline', 'seat', 'cramped', 'uncomfortable', 'overpriced', 'would', 'fly']",-1,Negative
20,"['experienced', 'delay', 'cancellation', 'departing', 'usa', 'europe', '3', '5', 'hour', 'estimated', 'delay', 'lhr', 'heading', 'back', 'usa', 'would', 'warn', 'traveler', 'ba', 'become', 'unreliable', 'fly', 'list', 'get', 'better', 'organized']",-1,Negative
21,"['travelled', 'heathrow', 'kalamata', 'return', 'journey', '11', 'day', 'later', 'world', 'traveller', 'aka', 'economy', 'class', 'flight', 'departed', 'time', 'return', 'flight', 'landed', 'early', '1', '1', '4', 'hour', 'wait', 'baggage', 'offloaded', 'rather', 'ruined', 'journey', 'home', 'caught', 'motorway', 'closure', 'flight', 'ok', 'fa', 'particularly', 'return', 'flight', 'pleasant', 'enough', 'usual', 'economy', 'class', 'seating', 'truly', 'dreadful', 'legroom', 'better', 'club', 'class', 'either', 'middle', 'seat', 'left', 'free', 'marked', 'recommend', 'tall']",1,Positive
22,"['flight', 'failed', 'every', 'level', 'delayed', 'arrived', 'destination', 'late', 'prepaid', 'car', 'transfer', 'phoned', 'advise', 'u', 'could', 'wait', 'another', '10', 'minute', 'u', 'ba', 'holiday', 'pre', 'ordered', 'food', 'flight', 'never', 'loaded', 'onto', 'flight', 'finally', 'compound', 'british', 'airway', 'complete', 'utter', 'uselessness', 'luggage', 'still', 'heathrow', 'flight', 'tomorrow', 'earliest', 'luggage', 'could', 'possible', 'arrive', 'late', 'wednesday', 'evening', 'clothes', 'flew', 'reading', 'claim', 'toiletry', 'underwear', 'seems', 'antithesis', 'happy', 'holiday', 'might', 'expected', 'complimentary', 'scone', 'lieu', 'food', 'told', 'could', 'purchase', 'trolley', 'available', 'would', 'like', 'make', 'clear', 'british', 'airway', 'bronze', 'level', 'holder', 'long', 'retired', 'show', 'used', 'airline', 'historically']",1,Positive
23,"['beware', 'british', 'airway', 'marketing', 'make', 'believe', 'full', 'class', 'level', 'rest', 'treat', 'way', 'get', 'bumped', 'flight', 'responsibility', 'compensate', 'mistake', 'recently', 'trip', 'home', 'planned', 'mr', 'sea', 'mechanical', 'issue', 'meant', 'departed', 'late', 'mr', 'lhr', 'needed', 'make', 'connecting', 'flight', 'landed', 'plenty', 'time', 'make', 'next', 'gate', 'series', 'issue', 'choice', 'british', 'airway', 'kept', 'u', 'boarding', 'next', 'plane', 'crew', 'let', 'passenger', 'connecting', 'flight', 'first', 'hold', 'next', 'flight', 'mere', '5', '10', 'minute', 'passenger', 'make', 'connection', 'airline', 'plus', 'discovered', 'actually', 'bumped', 'next', 'flight', 'even', 'landed', 'pushed', 'virgin', 'atlantic', 'figure', 'get', 'u', 'home', 'extended', 'travel', 'day', '8', 'hour', 'traveling', 'child', 'well', 'offer', 'compensation', 'upgrade', 'made', 'ba', 'refusing', 'provide', 'u', 'financial', 'compensation', 'paid', 'trip', 'home', 'one', 'connection', 'instead', 'two', 'connection', 'multiple', 'airline', 'deal', 'security', 'extra', 'airport', 'kid', 'midnight', 'flight', 'never', 'planning', 'paid', 'ba', 'refuse', 'make', 'right', 'beware', 'potential', 'traveler']",0,Neutral
24,"['flew', 'cairo', 'heathrow', 'call', 'euro', 'club', 'class', 'cramped', 'coach', 'seat', 'middle', 'empty', 'seat', 'horrible', 'service', 'get', 'heathrow', 'airport', '40', 'minute', 'late', 'run', 'around', 'looking', 'connecting', 'flight', 'finally', 'jumping', 'escalator', 'train', 'another', 'building', 'gate', 'given', 'seat', 'different', 'paid', 'extra', 'shame', 'well', 'known', 'airline']",-1,Negative
25,"['flew', 'numerous', 'airline', 'got', 'ta', 'admit', 'british', 'airway', 'far', 'worst', 'airline', 'ever', 'come', 'customer', 'support', 'waited', '3', 'week', 'ticket', 'change', 'call', 'center', 'worker', 'giving', 'false', 'information', 'would', 'make', 'hang', 'told', 'supposed', 'get', 'email', 'flight', 'change', 'never', 'got', 'live', 'chat', 'like', 'american', 'airline', 'online', 'form', 'submit', 'question', 'working', 'international', 'number', 'total', 'garbage']",1,Positive
26,"['traveling', 'family', '5', 'people', 'accident', 'airport', 'arrived', 'airport', '1', 'hour', 'flight', 'kiosk', 'unable', 'read', 'one', 'passport', 'go', 'check', 'lady', 'check', 'checked', 'passport', 'gave', 'u', 'boarding', 'pas', 'extra', 'time', 'headed', 'straight', 'security', 'realize', 'lady', 'gave', 'u', 'duplicated', 'boarding', 'pas', 'passport', 'holder', 'got', 'stuck', 'security', 'figure', 'wrong', 'miss', 'flight', 'ran', 'airport', '70', 'year', 'old', '9', 'year', 'old', 'included', 'party', 'staff', 'gate', 'cordial', 'helpful', 'arrived']",1,Positive
27,"['flight', '8', '40am', 'dub', 'lcy', 'cancelled', '1155pm', 'night', 'text', 'message', 'phone', 'waiting', 'bus', 'stop', 'randomly', 'checked', 'email', 'see', 'alternate', 'flight', 'option', 'hang', 'dark', '5am', 'hard', 'see', 'mobile', 'phone', 'screen', 'still', 'jet', 'lagged', 'option', 'lhr', '9', '20am', 'tried', 'calling', 'one', 'accepted', 'see', 'day', 'change', 'next', 'day', 'want', 'flight', 'staying', 'docklands', 'hence', 'choosing', 'lcy', 'thought', 'better', 'take', 'leaving', 'hour', 'original', 'flight', 'nope', 'better', 'call', 'say', 'hey', 'sorry', 'screwed', 'flight', 'going', 'work', 'accommodation', 'dublin', 'want', 'waste', 'one', 'night', 'london', 'called', 'surly', 'customer', 'service', 'even', 'called', 'treat', 'people', 'like', 'answered', 'kept', 'calling', 'james', 'name', 'brutal', 'accepted', 'anything', 'basically', 'made', 'feel', 'like', 'moron', 'moment', 'confusion', 'accepted', 'first', 'available', 'flight', 'stupid', 'supercomputer', 'kept', 'telling', 'algorithm', 'flight', 'chosen', 'called', 'u', 'could', 'put', 'onto', 'aer', 'lingus', 'flight', 'call', 'fault', 'callous', 'uncaring', 'wanted', 'charge', '600', 'pound', 'new', 'flight', 'change', 'fee', 'said', 'nope', 'booked', 'flight', 'today', 'ryanair', 'plus', 'need', 'find', 'way', 'gatwick', 'docklands', 'money', 'ba', 'utter', 'contempt', 'passenger', 'flying', 'qantas', '25', 'year', 'funky', 'stuff', 'never', 'level', 'cruelty', 'one', 'simple', 'error', 'never', 'people', 'accept', 'utter', 'contempt', 'ineptitude', 'welcome', 'wow']",-1,Negative
28,"['terrible', 'traveled', 'twice', 'year', 'via', 'business', 'class', 'significantly', 'delayed', 'cancellation', 'connecting', 'flight', 'customer', 'service', 'complete', 'lack', 'appalling', 'forced', 'change', 'credit', 'card', 'longer', 'intend', 'use', 'ba', 'flight', 'terrible', 'uncomfy', 'old', 'plane', 'miserable', 'staff']",-1,Negative
29,"['customer', 'service', 'ugly', 'tried', 'calling', 'two', 'week', 'ago', 'still', 'problem', 'flight', 'get', 'someone', 'india', 'thought', 'flying', 'iberia', 'looked', 'close', 'ticket', 'british', 'airway', 'never', 'fly', 'british', 'airway', 'ever']",-1,Negative
30,"['uncomfortable', 'flight', 'ever', 'experienced', 'long', 'time', 'since', 'flown', 'long', 'haul', 'cramped', 'condition', 'awful', 'row', 'close', 'together', 'person', 'front', 'reclined', 'seat', 'tv', 'close', 'focus', 'ba', 'seem', 'want', 'make', 'economy', 'uncomfortable', 'encourage', 'customer', 'upgrade', 'worked', 'avoid', 'flying', 'ba', 'future', 'onward', 'flight', 'latam', '787', 'aircraft', 'room', 'row', 'far', 'comfortable', 'return', 'flight', 'santiago', 'light', 'turned', '8pm', 'feel', 'cabin', 'crew', 'avoid', 'providing', 'service', 'disappear', 'behind', 'curtain']",-1,Negative
31,"['booked', 'first', 'country', 'trip', 'take', 'husband', 'surprise', 'trip', 'monaco', 'gave', 'u', '3', 'hour', 'connecting', 'flight', 'home', 'heathrow', 'flight', 'left', 'seattle', 'hour', 'late', 'causing', 'u', 'miss', 'connecting', 'flight', 'rescheduled', 'even', 'landed', 'booked', 'u', 'flight', '7', 'hour', 'later', 'offered', 'food', 'ticket', 'type', 'reimbursement', 'additionally', 'sat', 'customer', 'service', 'line', 'hour', 'half', 'see', 'could', 'rebook', 'u', 'earlier', 'flight', 'watch', 'continually', 'assist', 'customer', 'walked', 'outside', 'queue', 'earlier', 'flight', 'available', 'arrived', 'nice', 'france', 'airport', 'closed', 'including', 'rental', 'car', 'desk', 'offered', 'assistance', 'airline', 'room', 'accommodation', 'night', 'found', 'cab', 'cost', 'u', '85', 'euro', 'one', 'one', 'get', 'hotel', 'thought', 'way', 'something', 'like', 'could', 'happen', 'way', 'home', 'wrong', 'flight', 'nice', 'heathrow', '30', 'minute', 'late', '2', '5', 'hour', 'layover', 'would', 'think', 'still', 'make', 'flight', 'unfortunately', 'long', 'security', 'line', 'caused', '1', '5', 'hr', 'delay', 'arriving', 'ba', 'closed', 'door', 'said', 'could', 'hold', 'plane', 'longer', 'despite', 'arriving', '15mins', 'departure', 'running', 'heathrow', 'airport', 'going', 'security', 'sent', 'u', 'back', 'customer', 'service', 'queue', 'first', 'statement', 'get', 'tomorrow', 'begging', 'found', 'u', 'flight', 'another', 'airline', 'time', 'told', 'bag', 'transferred', 'flight', 'delta', 'given', '8', 'pound', 'snack', 'airport', 'additional', '5', 'hour', 'delay', 'total', 'trip', 'home', 'spent', '13', 'hour', 'heathrow', 'airport', 'original', 'total', 'layover', '6', 'hour', 'offered', '8', 'pound', 'unfortunately', 'drama', 'continues', 'two', 'bag', 'said', 'made', 'delta', 'flight', 'shockingly', 'told', 'file', 'claim', 'delta', 'since', 'last', 'part', 'flight', 'home', '5', 'day', 'airline', 'pointing', 'finger', 'said', 'today', 'care', 'bag', 'figure', 'send', 'luggage', 'want', '500', 'reimbursement', 'per', 'bag', 'come', 'close', 'memory', 'stuff', 'never', 'fly', 'british', 'airway', 'delta', 'baggage', 'people', 'great', 'either']",1,Positive
32,"['husband', 'booked', 'seat', 'within', 'premium', 'economy', 'booking', 'outward', 'journey', 'ba015', '12', 'february', 'return', '11', 'march', 'last', 'almost', 'last', 'served', 'food', 'time', 'run', 'choice', 'one', 'occasion', 'eat', 'available', 'option', 'curry', 'disagrees', 'flight', 'appeared', 'undue', 'focus', 'curry', 'spicy', 'food', 'disappointing', 'left', 'u', 'poor', 'opinion', 'british', 'airway']",-1,Negative
33,"['may', '3', 'flew', 'seattle', 'heathrow', 'edinburgh', 'ba', 'lost', 'golf', 'bag', 'caused', 'purchase', 'golf', 'shoe', 'club', 'rental', 'tee', 'ball', 'tee', 'time', 'two', 'course', 'st', 'andrew', 'took', 'month', 'make', 'promised', 'bag', 'returned', '24', 'hour', 'would', 'reimburse', 'occurred', 'expense', 'contacted', 'ba', 'state', 'would', 'reimburse', 'toiletry', 'return', 'flight', 'home', 'randomly', 'canceled', 'ba', 'without', 'notifying', 'without', 'notice', 'two', 'week', 'scheduled', 'flight', 'contacted', 'corporate', 'travel', 'team', 'informed', 'ba', 'canceled', 'return', 'reservation', 'rebooked', 'flight', 'ba', 'customer', 'service', 'horrendous', 'make', 'false', 'promise', 'never', 'use', 'airline', 'beware', 'british', 'airway', 'also', 'randomly', 'canceled', 'girlfriend', 'father', 'flight', 'gold', 'member']",-1,Negative
34,"['went', 'three', 'flight', 'reach', 'destination', 'ba', 'flight', 'without', 'exception', 'delayed', 'way', 'destination', 'back', 'destination', 'understandable', 'extent', 'understandable', 'prepared', 'one', 'flight', 'delayed', 'almost', 'hour', 'ended', 'missing', 'flight', 'rebooked', '24h', 'ahead', 'providing', 'accommodation', 'messed', 'well', '30', 'hour', 'traveling', 'wait', 'hope', 'hotel', 'would', 'find', 'extra', 'room', 'since', 'ba', 'communicate', 'properly', 'gave', 'ba', 'chance', 'correct', 'mistake', 'contacting', 'flight', 'answer', 'lot', 'serious', 'complaint', 'involved', 'flight', 'tell', 'contact', 'partner', 'last', 'flight', 'went', 'smoothly', 'nothing', 'previously', 'addressed', 'complaint', 'contacted', 'gave', 'week', 'asking', 'address', 'complaint', 'partner', 'could', 'nothing', 'ghosted', '2', '10', 'kind', 'personnel', 'holding', 'airline', 'together', 'though']",-1,Negative
35,"['excellent', 'flight', 'club', 'world', 'british', 'airway', 'welcome', 'aboard', 'warm', 'continued', 'throughout', 'flight', 'crew', 'attentive', 'friendly', 'professional', 'board', 'food', 'dinner', 'breakfast', 'good', 'well', 'chosen', 'selection', 'wine', 'flight', 'entertainment', 'offered', 'great', 'selection', 'film', 'audio', 'seat', 'flat', 'bed', 'comfortable', 'british', 'airway', 'done', 'excellent', 'job', 'design', 'comfort', 'suite', 'board', 'a350', 'liked', 'sleek', 'minimalist', 'design', 'flight', 'showed', 'ba', 'among', 'world', 'best', 'airline']",1,Positive
